,CRASH_HOUR,Month,Unnamed: 0,CRASH_RECORD_ID,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION,Year
88,7,5,36,36,1,36,36,36,36,36,36,36,36,32,36,36,36,36,36,2,4,3,36,36,36,36,36,36,36,36,0,0,0,0,0,0,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
89,7,6,22,22,3,22,22,22,22,22,22,22,22,20,22,22,22,22,22,8,0,2,22,22,22,22,22,22,22,22,2,0,0,1,0,0,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
90,7,7,20,20,6,20,20,20,20,20,20,20,20,19,20,20,20,20,20,3,2,4,20,20,20,20,20,20,20,20,3,0,0,1,1,0,20,19,19,19,19,19,19,19,19,20,20,20,20,20,20
91,7,8,40,40,5,40,40,40,40,40,40,40,40,35,40,40,40,40,40,6,1,11,40,40,40,40,40,40,40,40,1,1,0,0,0,0,40,40,40,40,40,40,40,40,40,40,40,39,39,39,40
92,7,9,60,60,2,60,60,60,60,60,60,60,60,53,60,60,60,60,60,15,1,12,60,60,60,60,60,60,60,60,1,2,0,0,0,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
93,7,10,66,66,6,66,66,66,66,66,66,66,66,55,66,66,66,64,66,7,0,14,66,66,66,66,66,66,66,66,2,2,0,0,0,0,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
94,7,11,49,49,3,49,49,49,49,49,49,49,49,47,49,49,49,49,49,5,0,11,49,49,49,49,49,49,49,49,1,0,0,2,2,1,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
95,7,12,44,44,4,44,44,44,44,44,44,44,44,42,44,44,44,44,44,8,1,16,44,44,44,44,44,44,44,44,1,1,0,1,1,1,44,44,44,44,44,44,44,44,44,44,44,43,43,43,44
96,8,1,40,40,9,40,40,40,40,40,40,40,40,33,40,40,40,40,40,2,1,15,40,40,40,40,40,40,40,40,1,1,0,0,0,0,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
97,8,2,28,28,3,28,28,28,28,28,28,28,28,26,28,28,28,28,28,6,2,6,28,28,28,28,28,28,28,28,2,0,0,0,0,0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
98,8,3,46,46,5,46,46,46,46,46,46,46,46,40,46,46,46,46,46,15,0,8,46,46,46,46,46,46,46,46,0,1,0,0,0,0,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
99,8,4,39,39,1,39,39,39,39,39,39,39,39,36,39,39,39,39,39,7,1,11,39,39,39,39,39,39,39,39,1,1,0,0,0,0,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
100,8,5,34,34,2,34,34,34,34,34,34,34,34,27,34,34,34,34,34,5,2,7,34,34,34,34,34,34,34,34,0,0,0,1,1,0,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
101,8,6,35,35,5,35,35,35,35,35,35,35,35,29,35,35,35,35,35,4,4,8,35,35,35,35,35,35,35,35,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
102,8,7,21,21,4,21,21,21,21,21,21,21,21,19,21,21,21,21,21,3,1,9,21,21,21,21,21,21,21,21,0,0,0,0,0,0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
103,8,8,57,57,5,57,57,57,57,57,57,57,57,48,57,57,57,57,57,8,5,17,57,57,57,57,57,57,57,57,1,1,0,2,1,0,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
104,8,9,67,67,8,67,67,67,67,67,67,67,67,54,67,67,67,67,67,9,3,19,67,67,67,67,67,67,67,67,0,3,0,2,2,0,67,67,67,67,67,67,67,67,67,67,67,66,66,66,67
105,8,10,69,69,6,69,69,69,69,69,69,69,69,57,69,69,69,65,69,12,0,19,69,69,69,69,69,69,69,69,2,1,0,2,2,1,69,68,68,68,68,68,68,68,68,69,69,69,69,69,69
106,8,11,69,69,5,69,69,69,69,69,69,69,69,55,69,69,69,69,69,12,0,15,69,69,69,69,69,69,69,69,0,0,0,0,0,0,69,69,69,69,69,69,69,69,69,69,69,68,68,68,69
107,8,12,54,54,4,54,54,54,54,54,54,54,54,47,54,54,54,54,54,7,1,15,54,54,54,54,54,54,54,54,0,0,0,0,0,0,54,54,54,54,54,54,54,54,54,54,54,52,52,52,54
108,9,1,26,26,3,26,26,26,26,26,26,26,26,25,26,26,26,26,26,6,0,6,26,26,26,26,26,26,26,26,0,0,0,0,0,0,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
109,9,2,25,25,2,25,25,25,25,25,25,25,25,23,25,25,25,25,25,7,1,10,25,25,25,25,25,25,25,25,1,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
110,9,3,37,37,5,37,37,37,37,37,37,37,37,29,37,37,37,37,37,7,4,12,37,37,37,37,37,37,37,37,0,1,0,1,1,0,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
111,9,4,34,34,4,34,34,34,34,34,34,34,34,29,34,34,34,34,34,8,2,13,34,34,34,34,34,34,34,34,0,2,0,0,0,0,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
112,9,5,28,28,3,28,28,28,28,28,28,28,28,24,28,28,28,28,28,3,1,11,28,28,28,28,28,28,28,28,0,0,0,0,0,0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
113,9,6,25,25,4,25,25,25,25,25,25,25,25,23,25,25,25,25,25,5,1,9,25,25,25,25,25,25,25,25,0,0,0,1,1,1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
114,9,7,33,33,3,33,33,33,33,33,33,33,33,31,33,33,33,33,33,3,1,12,33,33,33,33,33,33,33,33,0,2,0,2,2,0,33,33,33,33,33,33,33,33,33,33,33,32,32,32,33
115,9,8,39,39,4,39,39,39,39,39,39,39,39,31,39,39,39,39,39,7,1,8,39,39,39,39,39,39,39,39,0,0,0,0,0,0,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
116,9,9,47,47,1,47,47,47,47,47,47,47,47,41,47,47,47,47,47,9,0,12,47,47,47,47,47,47,47,47,0,0,1,1,1,0,47,47,47,47,47,47,47,47,47,47,47,46,46,46,47
117,9,10,57,57,5,57,57,57,57,57,57,57,57,48,57,57,57,56,57,5,4,16,57,57,57,57,57,57,57,57,4,0,0,1,1,0,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
118,9,11,51,51,5,51,51,51,51,51,51,51,51,45,51,51,51,50,51,7,1,7,51,51,51,51,51,51,51,51,0,0,0,0,0,0,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
119,9,12,49,49,3,49,49,49,49,49,49,49,49,41,49,49,49,48,49,6,1,13,49,49,49,49,49,49,49,49,0,1,0,0,0,0,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
120,10,1,27,27,6,27,27,27,27,27,27,27,27,24,27,27,27,27,27,4,2,11,27,27,27,27,27,27,27,27,0,0,0,0,0,0,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
121,10,2,22,22,4,22,22,22,22,22,22,22,22,20,22,22,22,22,22,5,2,5,22,22,22,22,22,22,22,22,0,0,0,1,1,1,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
122,10,3,32,32,4,32,32,32,32,32,32,32,32,27,32,32,32,32,32,5,1,13,32,32,32,32,32,32,32,32,0,0,0,1,1,1,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
123,10,4,36,36,1,36,36,36,36,36,36,36,36,31,36,36,36,36,36,8,0,10,36,36,36,36,36,36,36,36,0,0,0,0,0,0,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
124,10,5,30,30,1,30,30,30,30,30,30,30,30,25,30,30,30,30,30,3,2,11,30,30,30,30,30,30,30,30,0,0,0,0,0,0,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
125,10,6,33,33,4,33,33,33,33,33,33,33,33,27,33,33,33,33,33,10,1,10,33,33,33,33,33,33,33,33,0,0,0,1,1,0,33,33,33,33,33,33,33,33,33,33,33,32,32,32,33
126,10,7,37,37,3,37,37,37,37,37,37,37,37,30,37,37,37,37,37,1,0,9,37,37,37,37,37,37,37,37,0,0,0,0,0,0,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
127,10,8,43,43,2,43,43,43,43,43,43,43,43,38,43,43,43,43,43,7,1,9,43,43,43,43,43,43,43,43,1,0,0,1,1,0,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
128,10,9,51,51,1,51,51,51,51,51,51,51,51,44,51,51,51,51,51,11,1,16,51,51,51,51,51,51,51,51,2,1,0,1,1,0,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
129,10,10,46,46,1,46,46,46,46,46,46,46,46,40,46,46,46,46,46,11,0,13,46,46,46,46,46,46,46,46,0,0,1,1,0,0,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
130,10,11,44,44,4,44,44,44,44,44,44,44,44,37,44,44,44,42,44,7,0,10,44,44,44,44,44,44,44,44,0,0,0,0,0,0,44,44,44,44,44,44,44,44,44,44,44,43,43,43,44
131,10,12,55,55,3,55,55,55,55,55,55,55,55,44,55,55,55,55,55,8,3,17,55,55,55,55,55,55,55,55,1,0,0,0,0,0,55,55,55,55,55,55,55,55,55,55,55,54,54,54,55
132,11,1,34,34,3,34,34,34,34,34,34,34,34,31,34,34,34,34,34,5,2,9,34,34,34,34,34,34,34,34,0,0,0,1,1,0,34,34,34,34,34,34,34,34,34,34,34,33,33,33,34
133,11,2,26,26,4,26,26,26,26,26,26,26,26,24,26,26,26,26,26,7,2,4,26,26,26,26,26,26,26,26,1,0,0,1,1,0,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
134,11,3,37,37,1,37,37,37,37,37,37,37,37,29,37,37,37,37,37,7,1,11,37,37,37,37,37,37,37,37,1,1,0,0,0,0,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
135,11,4,30,30,1,30,30,30,30,30,30,30,30,25,30,30,30,30,30,4,0,8,30,30,30,30,30,30,30,30,1,0,0,0,0,0,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
136,11,5,38,38,3,38,38,38,38,38,38,38,38,33,38,38,38,38,38,2,0,5,38,38,38,38,38,38,38,38,0,0,0,0,0,0,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
137,11,6,28,28,2,28,28,28,28,28,28,28,28,23,28,28,28,27,28,4,3,9,28,28,28,28,28,28,28,28,0,0,0,0,0,0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
138,11,7,36,36,0,36,36,36,36,36,36,36,36,32,36,36,36,36,36,6,2,8,36,36,36,36,36,36,36,36,2,2,1,0,0,0,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
139,11,8,60,60,4,60,60,60,60,60,60,60,60,50,60,60,60,60,60,10,4,12,60,60,60,60,60,60,60,60,2,0,0,0,0,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
140,11,9,49,49,2,49,49,49,49,49,49,49,49,42,49,49,49,49,49,10,1,10,49,49,49,49,49,49,49,49,1,1,0,1,1,1,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
141,11,10,63,63,9,63,63,63,63,63,63,63,63,58,63,63,63,62,63,10,4,16,63,63,63,63,63,63,63,63,0,1,1,1,1,1,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
142,11,11,65,65,3,65,65,65,65,65,65,65,65,47,65,65,65,63,65,5,3,6,65,65,65,65,65,65,65,65,0,0,0,1,1,0,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
143,11,12,58,58,1,58,58,58,58,58,58,58,58,45,58,58,58,57,58,5,5,14,58,58,58,58,58,58,58,58,0,0,0,0,0,0,58,58,58,58,58,58,58,58,58,58,58,57,57,57,58
144,12,1,32,32,1,32,32,32,32,32,32,32,32,22,32,32,32,32,32,4,1,6,32,32,32,32,32,32,32,32,2,0,0,0,0,0,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
145,12,2,40,40,4,40,40,40,40,40,40,40,40,35,40,40,40,40,40,9,0,14,40,40,40,40,40,40,40,40,2,1,0,1,1,1,40,40,40,40,40,40,40,40,40,40,40,39,39,39,40
146,12,3,32,32,6,32,32,32,32,32,32,32,32,29,32,32,32,32,32,2,4,10,32,32,32,32,32,32,32,32,1,1,0,0,0,0,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
147,12,4,34,34,2,34,34,34,34,34,34,34,34,27,34,34,34,34,34,6,6,8,34,34,34,34,34,34,34,34,0,0,1,0,0,0,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
148,12,5,38,38,3,38,38,38,38,38,38,38,38,27,38,38,38,38,38,7,2,9,38,38,38,38,38,38,38,38,1,1,0,0,0,0,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
149,12,6,30,30,7,30,30,30,30,30,30,30,30,22,30,30,30,30,30,4,3,15,30,30,30,30,30,30,30,30,0,0,0,1,1,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
150,12,7,42,42,4,42,42,42,42,42,42,42,42,34,42,42,42,42,42,8,3,10,42,42,42,42,42,42,42,42,0,0,1,0,0,0,42,42,42,42,42,42,42,42,42,42,42,41,41,41,42
151,12,8,68,68,6,68,68,68,68,68,68,68,68,53,68,68,68,68,68,14,3,22,68,68,68,68,68,68,68,68,1,0,1,0,0,0,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
152,12,9,70,70,2,70,70,70,70,70,70,70,70,56,70,70,70,70,70,8,4,19,70,70,70,70,70,70,70,70,1,3,1,0,0,0,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
153,12,10,55,55,1,55,55,55,55,55,55,55,55,47,55,55,55,54,55,13,6,16,55,55,55,55,55,55,55,55,3,1,0,0,0,0,55,55,55,55,55,55,55,55,55,55,55,54,54,54,55
154,12,11,67,67,4,67,67,67,67,67,67,67,67,54,67,67,67,66,67,6,4,17,67,67,67,67,67,67,67,67,2,0,0,0,0,0,67,66,66,66,66,66,66,66,66,67,67,66,66,66,67
155,12,12,64,64,7,64,64,64,64,64,64,64,64,49,64,64,64,63,64,9,6,14,64,64,64,64,64,64,64,64,2,0,0,0,0,0,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
156,13,1,54,54,6,54,54,54,54,54,54,54,54,45,54,54,54,54,54,8,5,9,54,54,54,54,54,54,54,54,0,0,0,0,0,0,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
157,13,2,40,40,5,40,40,40,40,40,40,40,40,35,40,40,40,40,40,9,0,16,40,40,40,40,40,40,40,40,0,0,0,0,0,0,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
158,13,3,32,32,5,32,32,32,32,32,32,32,32,24,32,32,32,32,32,11,2,3,32,32,32,32,32,32,32,32,0,2,0,0,0,0,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
159,13,4,48,48,6,48,48,48,48,48,48,48,48,38,48,48,48,48,48,4,4,8,48,48,48,48,48,48,48,48,0,0,0,0,0,0,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
160,13,5,44,44,1,44,44,44,44,44,44,44,44,31,44,44,44,44,44,8,2,14,44,44,44,44,44,44,44,44,1,0,0,0,0,0,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
161,13,6,41,41,4,41,41,41,41,41,41,41,41,33,41,41,41,41,41,13,2,11,41,41,41,41,41,41,41,41,0,1,0,0,0,0,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
162,13,7,59,59,1,59,59,59,59,59,59,59,59,45,59,59,59,59,59,9,3,13,59,59,59,59,59,59,59,59,1,1,0,0,0,0,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
163,13,8,72,72,6,72,72,72,72,72,72,72,72,55,72,72,72,72,72,13,8,17,72,72,72,72,72,72,72,72,1,0,2,3,2,1,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
164,13,9,60,60,4,60,60,60,60,60,60,60,60,52,60,60,60,60,60,12,4,13,60,60,60,60,60,60,60,60,2,0,0,1,1,0,60,60,60,60,60,60,60,60,60,60,60,59,59,59,60
165,13,10,62,62,4,62,62,62,62,62,62,62,62,50,62,62,62,62,62,13,1,12,62,62,62,62,62,62,62,62,0,0,0,2,2,0,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
166,13,11,64,64,5,64,64,64,64,64,64,64,64,50,64,64,64,64,64,6,1,12,64,64,64,64,64,64,64,64,1,0,0,0,0,0,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
167,13,12,69,69,3,69,69,69,69,69,69,69,69,57,69,69,69,68,69,14,4,17,69,69,69,69,69,69,69,69,3,1,0,1,1,0,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
168,14,1,42,42,2,42,42,42,42,42,42,42,42,30,42,42,42,42,42,8,3,9,42,42,42,42,42,42,42,42,1,0,0,0,0,0,42,42,42,42,42,42,42,42,42,42,42,41,41,41,42
169,14,2,37,37,5,37,37,37,37,37,37,37,37,33,37,37,37,37,37,3,4,4,37,37,37,37,37,37,37,37,0,0,0,1,1,0,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
170,14,3,41,41,5,41,41,41,41,41,41,41,41,30,41,41,41,41,41,6,1,10,41,41,41,41,41,41,41,41,1,0,0,0,0,0,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
171,14,4,57,57,7,57,57,57,57,57,57,57,57,44,57,57,57,57,57,14,1,18,57,57,57,57,57,57,57,57,0,0,0,0,0,0,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
172,14,5,59,59,7,59,59,59,59,59,59,59,59,48,59,59,59,59,59,8,5,17,59,59,59,59,59,59,59,59,1,1,0,0,0,0,59,58,58,58,58,58,58,58,58,59,59,59,59,59,59
173,14,6,48,48,3,48,48,48,48,48,48,48,48,41,48,48,48,48,48,10,1,11,48,48,48,48,48,48,48,48,1,2,0,0,0,0,48,47,47,47,47,47,47,47,47,48,48,48,48,48,48
174,14,7,69,69,9,69,69,69,69,69,69,69,69,58,69,69,69,69,69,10,0,18,69,69,69,69,69,69,69,69,2,2,0,0,0,0,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
175,14,8,74,74,5,74,74,74,74,74,74,74,74,66,74,74,74,74,74,7,3,18,74,74,74,74,74,74,73,74,2,0,0,0,0,0,74,74,74,74,74,74,74,74,74,74,74,73,73,73,74
176,14,9,63,63,5,63,63,63,63,63,63,63,63,53,63,63,63,62,63,15,4,13,63,63,63,63,63,63,63,63,1,1,0,0,0,0,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
177,14,10,93,93,6,93,93,93,93,93,93,93,93,74,93,93,93,93,93,16,5,21,93,93,93,93,93,93,93,93,4,0,1,0,0,0,93,93,93,93,93,93,93,93,93,93,93,92,92,92,93
178,14,11,82,82,9,82,82,82,82,82,82,82,82,66,82,82,82,79,82,7,3,19,82,82,82,82,82,82,82,82,2,0,2,1,1,0,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82
179,14,12,90,90,5,90,90,90,90,90,90,90,90,72,90,90,90,88,90,16,5,17,90,90,90,90,90,90,90,90,2,0,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,89,89,89,90
180,15,1,49,49,2,49,49,49,49,49,49,49,49,43,49,49,49,49,49,7,3,11,49,49,49,49,49,49,49,49,0,0,0,0,0,0,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
181,15,2,54,54,5,54,54,54,54,54,54,54,54,44,54,54,54,54,54,9,6,12,54,54,54,54,54,54,54,54,0,0,0,0,0,0,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
182,15,3,61,61,9,61,61,61,61,61,61,61,61,54,61,61,61,61,61,11,3,15,61,61,61,61,61,61,61,61,0,0,0,2,1,1,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61
183,15,4,62,62,3,62,62,62,62,62,62,62,62,48,62,62,62,62,62,11,5,12,62,62,62,62,62,62,62,62,2,2,0,1,0,0,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
184,15,5,61,61,3,61,61,61,61,61,61,61,61,55,61,61,61,61,61,6,2,12,61,61,61,61,61,61,61,61,2,2,0,1,0,0,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61
185,15,6,54,54,6,54,54,54,54,54,54,54,54,44,54,54,54,54,54,11,3,10,54,54,54,54,54,54,54,54,2,2,0,1,1,1,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
186,15,7,67,67,7,67,67,67,67,67,67,67,67,52,67,67,67,67,67,11,1,9,67,67,67,67,67,67,67,67,0,0,0,0,0,0,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
187,15,8,88,88,8,88,88,88,88,88,88,88,88,64,88,88,88,88,88,17,3,21,88,88,88,88,88,88,88,88,0,0,0,0,0,0,88,88,88,88,88,88,88,88,88,88,88,87,87,87,88
188,15,9,84,84,6,84,84,84,84,84,84,84,84,67,84,84,84,84,84,15,5,16,84,84,84,84,84,84,84,84,1,2,1,2,2,1,84,84,84,84,84,84,84,84,84,84,84,82,82,82,84
189,15,10,93,93,5,93,93,93,93,93,93,93,93,68,93,93,93,91,93,13,2,25,93,93,93,93,93,93,93,93,3,3,0,0,0,0,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93
190,15,11,81,81,6,81,81,81,81,81,81,81,81,59,81,81,81,78,81,6,4,11,81,81,81,81,81,81,81,81,0,1,1,0,0,0,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81
191,15,12,84,84,4,84,84,84,84,84,84,84,84,64,84,84,84,82,84,10,4,14,84,84,84,84,84,84,84,84,0,0,0,0,0,0,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
192,16,1,48,48,7,48,48,48,48,48,48,48,48,41,48,48,48,48,48,10,1,14,48,48,48,48,48,48,48,48,0,0,0,0,0,0,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
193,16,2,44,44,2,44,44,44,44,44,44,44,44,38,44,44,44,44,44,9,2,10,44,44,44,44,44,44,44,44,0,0,0,0,0,0,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
194,16,3,60,60,7,60,60,60,60,60,60,60,60,51,60,60,60,60,60,16,4,15,60,60,60,60,60,60,60,60,0,0,1,1,1,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
195,16,4,49,49,1,49,49,49,49,49,49,49,49,34,49,49,49,49,49,10,2,11,49,49,49,49,49,49,49,49,2,3,1,1,1,0,49,49,49,49,49,49,49,49,49,49,49,48,48,48,49
196,16,5,66,66,9,66,66,66,66,66,66,66,66,55,66,66,66,66,66,16,3,12,66,66,66,66,66,66,66,66,1,1,0,0,0,0,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
197,16,6,56,56,8,56,56,56,56,56,56,56,56,43,56,56,56,56,56,12,2,13,56,56,56,56,56,56,56,56,0,1,1,2,1,0,56,56,56,56,56,56,56,56,56,56,56,55,55,55,56
198,16,7,65,65,5,65,65,65,65,65,65,65,65,60,65,65,65,65,65,15,4,15,65,65,65,65,65,65,65,65,0,1,0,0,0,0,65,65,65,65,65,65,65,65,65,65,65,64,64,64,65
199,16,8,67,67,8,67,67,67,67,67,67,67,67,55,67,67,67,67,67,12,3,14,67,67,67,67,67,67,67,67,2,1,0,0,0,0,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
200,16,9,94,94,11,94,94,94,94,94,94,94,94,76,94,94,94,93,94,16,5,22,94,94,94,94,94,94,94,94,1,0,1,0,0,0,94,93,93,93,93,93,93,93,93,94,94,93,93,93,94
201,16,10,93,93,5,93,93,93,93,93,93,93,93,80,93,93,93,93,93,14,7,14,93,93,93,93,93,93,93,93,0,0,1,0,0,0,93,92,92,92,92,92,92,92,92,93,93,92,92,92,93
202,16,11,96,96,6,96,96,96,96,96,96,96,96,77,96,96,96,94,96,20,7,22,96,96,96,96,96,96,96,96,0,1,0,0,0,0,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96
203,16,12,86,86,4,86,86,86,86,86,86,86,86,69,86,86,86,82,86,11,0,27,86,86,86,86,86,86,86,86,0,0,0,0,0,0,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
204,17,1,66,66,6,66,66,66,66,66,66,66,66,55,66,66,66,66,66,18,2,16,66,66,66,66,66,66,66,66,1,1,0,0,0,0,66,65,65,65,65,65,65,65,65,66,66,66,66,66,66
205,17,2,36,36,4,36,36,36,36,36,36,36,36,29,36,36,36,36,36,8,3,10,36,36,36,36,36,36,36,36,0,0,0,0,0,0,36,36,36,36,36,36,36,36,36,36,36,35,35,35,36
206,17,3,62,62,7,62,62,62,62,62,62,62,62,54,62,62,62,62,62,12,2,16,62,62,62,62,62,62,62,62,0,0,0,2,2,0,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
207,17,4,65,65,9,65,65,65,65,65,65,65,65,53,65,65,65,65,65,17,2,12,65,65,65,65,65,65,65,65,2,3,0,0,0,0,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
208,17,5,59,59,4,59,59,59,59,59,59,59,59,51,59,59,59,59,59,9,2,16,59,59,59,59,59,59,59,59,0,0,0,0,0,0,59,59,59,59,59,59,59,59,59,59,59,58,58,58,59
209,17,6,57,57,4,57,57,57,57,57,57,57,57,46,57,57,57,57,57,13,3,10,57,57,57,57,57,57,57,57,1,2,0,1,1,0,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
210,17,7,57,57,4,57,57,57,57,57,57,57,57,45,57,57,57,57,57,6,3,12,57,57,57,57,57,57,57,57,1,0,1,0,0,0,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
211,17,8,89,89,10,89,89,89,89,89,89,89,89,72,89,89,89,89,89,13,0,16,89,89,89,89,89,89,89,89,2,1,1,1,1,0,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89
212,17,9,80,80,6,80,80,80,80,80,80,80,80,67,80,80,80,79,80,14,2,16,80,80,80,80,80,80,80,80,2,1,1,0,0,0,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
213,17,10,66,66,9,66,66,66,66,66,66,66,66,55,66,66,66,65,66,11,0,15,66,66,66,66,66,66,66,66,2,0,0,1,1,0,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
214,17,11,94,94,3,94,94,94,94,94,94,94,94,71,94,94,94,91,94,21,2,27,94,94,94,94,94,94,94,94,0,0,0,0,0,0,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94
215,17,12,92,92,5,92,92,92,92,92,92,92,92,73,92,92,92,89,92,12,2,16,92,92,92,92,92,92,92,92,3,1,1,0,0,0,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92
